test,stat,pvalue,df,runtime_ms,converged_full,converged_null,error_type,failed,reject,scenario,scenario_slug,hypothesis_id,n,effect_size,rep,seed,alpha,null_spec,null_df,notes,is_null
wald,2.4962816733620445,0.11411544212703657,1,0.13890000263927504,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,18,3213106130386463495,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.2879917795174704,0.5915103284695541,1,0.14749999536434188,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,19,366215704169527932,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,0.29091157650318683,0.589636962017527,1,0.09439999848837033,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,19,366215704169527932,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,0.2908727016628134,0.5896618246017213,1,0.051899995014537126,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,19,366215704169527932,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.22813304724702232,0.6329116143951405,1,0.134299996716436,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,19,366215704169527932,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.54770967311227,0.4592550334256501,1,0.1343000039923936,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,20,6792682405325789226,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,0.5615954917325204,0.4536181081118157,1,0.08620000153314322,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,20,6792682405325789226,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,0.5853022221574768,0.4442414916228362,1,0.05080000119050965,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,20,6792682405325789226,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.38431995495814814,0.5353002892655577,1,0.1405000002705492,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,20,6792682405325789226,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.09168382047341403,0.7620473419499165,1,0.13639999815495685,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,21,1792349257383150438,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,0.09212127440488886,0.7614975193874816,1,0.109500004327856,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,21,1792349257383150438,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,0.09359434656569476,0.7596564731847724,1,0.05619999865302816,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,21,1792349257383150438,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.10461887627971558,0.7463556694587041,1,0.1508999994257465,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,21,1792349257383150438,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
